Date,SP500,SP500r,ORCLr,MSFTr,BRK.Ar
9/20/2013,1709.91,NA,NA,NA,NA
9/23/2013,1701.84,-0.00205,-0.00142,-0.00068,-0.00364
9/24/2013,1697.42,-0.00113,-0.00377,-0.00384,-0.00261
9/25/2013,1692.77,-0.00119,0.00287,0.00069,0.00218
9/26/2013,1698.67,0.00151,-0.00078,0.00356,0.00058
9/27/2013,1691.75,-0.00177,-0.00039,0.00649,-0.00349
9/30/2013,1681.55,-0.00263,-0.00788,0.00013,-0.00456
10/1/2013,1695,0.00346,0.00435,0.00388,0.00157
10/2/2013,1693.87,-0.00029,0.00236,0.00437,0.00120
10/3/2013,1678.66,-0.00392,-0.00578,-0.00066,-0.00383
10/4/2013,1690.5,0.00305,0.00119,0.00026,0.00191
10/7/2013,1676.12,-0.00371,-0.00491,-0.00758,-0.00329
10/8/2013,1655.45,-0.00539,-0.00618,-0.00377,-0.00516
10/9/2013,1656.4,0.00025,-0.00244,0.00081,0.00195
10/10/2013,1692.56,0.00938,0.01062,0.00896,0.01091
10/11/2013,1703.2,0.00272,0.00357,0.00474,0.00281
10/14/2013,1710.14,0.00177,0.00026,0.00404,0.00149
10/15/2013,1698.06,-0.00308,-0.00704,0.00052,-0.00572
10/16/2013,1721.54,0.00596,0.00360,0.00181,0.00739
10/17/2013,1733.15,0.00292,-0.00200,0.00360,0.00103
10/18/2013,1744.5,0.00283,0.00040,0.00051,0.00028
10/21/2013,1744.66,0.00004,0.00067,0.00026,-0.00069
10/22/2013,1754.67,0.00248,-0.00067,-0.00501,0.00252
10/23/2013,1746.38,-0.00206,-0.00254,-0.01046,-0.00381
10/24/2013,1752.07,0.00141,0.00480,-0.00053,0.00105
10/25/2013,1759.77,0.00190,0.00106,0.02510,0.00103
10/28/2013,1762.11,0.00058,-0.00013,-0.00188,-0.00009
10/29/2013,1771.95,0.00242,0.00747,-0.00063,0.00146
10/30/2013,1763.31,-0.00212,-0.00235,0.00025,-0.00409
10/31/2013,1756.54,-0.00167,-0.00039,-0.00164,-0.00337
11/1/2013,1761.64,0.00126,0.00039,0.00151,0.00032
11/4/2013,1767.93,0.00155,0.00235,0.00500,-0.00260
11/5/2013,1762.97,-0.00122,-0.00274,0.00837,-0.00085
11/6/2013,1770.49,0.00185,0.00726,0.01791,0.00118
11/7/2013,1747.15,-0.00576,-0.00090,-0.00791,-0.00286
11/8/2013,1770.61,0.00579,0.00449,0.00332,0.00533
11/11/2013,1771.89,0.00031,0.00026,-0.00225,0.00071
11/12/2013,1767.69,-0.00103,0.00419,-0.00262,-0.00573
11/13/2013,1782,0.00350,0.00365,0.00923,0.00238
11/14/2013,1790.62,0.00210,-0.00771,-0.00164,0.00294
11/15/2013,1798.18,0.00183,0.00683,-0.00212,0.00245
11/18/2013,1791.53,-0.00161,0.00000,-0.00738,-0.00122
11/19/2013,1787.87,-0.00089,-0.00201,-0.00205,-0.00012
11/20/2013,1781.37,-0.00158,-0.00013,0.00396,-0.00321
11/21/2013,1795.85,0.00352,0.00226,0.00369,0.00536
11/22/2013,1804.76,0.00215,-0.00126,0.00201,0.00057
11/25/2013,1802.48,-0.00055,-0.00063,0.00083,-0.00384
11/26/2013,1802.75,0.00007,0.00176,-0.00343,0.00381
11/27/2013,1807.23,0.00108,0.00449,0.00296,-0.00053
11/29/2013,1805.81,-0.00034,0.00000,0.00609,0.00031
12/2/2013,1800.9,-0.00118,-0.00262,0.00359,-0.00452
12/3/2013,1795.15,-0.00139,-0.00012,-0.00162,-0.00204
12/4/2013,1792.81,-0.00057,0.00000,0.00712,0.00344
12/5/2013,1785.03,-0.00189,-0.00263,-0.01060,-0.00125
12/6/2013,1805.09,0.00485,0.00773,0.00406,0.00484
12/9/2013,1808.37,0.00079,0.00148,0.00403,0.00188
12/10/2013,1802.62,-0.00138,-0.00984,-0.00681,-0.00555
12/11/2013,1782.22,-0.00494,-0.00303,-0.00574,-0.00463
12/12/2013,1775.5,-0.00164,-0.01222,-0.00450,-0.00033
12/13/2013,1775.32,-0.00004,-0.00485,-0.00624,-0.00101
12/16/2013,1786.54,0.00274,0.00407,0.00229,0.00010
12/17/2013,1781,-0.00135,0.00117,-0.00435,-0.00183
12/18/2013,1810.65,0.00717,0.01233,0.00073,0.00965
12/19/2013,1809.6,-0.00025,0.02438,-0.00390,0.00099
12/20/2013,1818.32,0.00209,-0.00276,0.00655,0.00236
12/23/2013,1827.99,0.00230,0.00670,-0.00217,0.00074
12/24/2013,1833.32,0.00126,0.00449,0.00541,0.00028
12/26/2013,1842.02,0.00206,0.00432,0.00417,0.00219
12/27/2013,1841.4,-0.00015,0.00336,-0.00166,0.00064
12/30/2013,1841.07,-0.00008,0.00012,0.00000,-0.00022
12/31/2013,1848.36,0.00172,0.00299,0.00131,0.00203
1/2/2014,1831.98,-0.00387,-0.00472,-0.00285,-0.00387
1/3/2014,1831.37,-0.00014,-0.00116,-0.00299,0.00004
1/6/2014,1826.77,-0.00109,-0.00175,-0.00923,-0.00455
1/7/2014,1837.88,0.00263,0.00441,0.00330,-0.00076
1/8/2014,1837.49,-0.00009,-0.00150,-0.00774,-0.00228
1/9/2014,1838.13,0.00015,-0.00081,-0.00286,-0.00080
1/10/2014,1842.37,0.00100,0.00530,0.00620,-0.00107
1/13/2014,1819.2,-0.00550,-0.00415,-0.01299,-0.00417
1/14/2014,1838.88,0.00467,0.00529,0.00990,0.00343
1/15/2014,1848.38,0.00224,0.00217,0.01174,0.00355
1/16/2014,1845.89,-0.00059,-0.00125,0.00144,-0.00224
1/17/2014,1838.7,-0.00169,-0.00091,-0.00605,-0.00106
1/21/2014,1843.8,0.00120,-0.00114,-0.00244,0.00038
1/22/2014,1844.86,0.00025,-0.00149,-0.00295,0.00099
1/23/2014,1828.46,-0.00388,0.00195,0.00160,-0.00654
1/24/2014,1790.29,-0.00916,-0.01207,0.00888,-0.00464
1/27/2014,1781.56,-0.00212,-0.00724,-0.00925,-0.00075
1/28/2014,1792.5,0.00266,0.00712,0.00294,0.00258
1/29/2014,1774.2,-0.00446,-0.00153,0.00462,-0.00119
1/30/2014,1794.19,0.00487,0.00505,0.00229,0.00436
1/31/2014,1782.59,-0.00282,-0.00588,0.01140,-0.00240
2/3/2014,1741.89,-0.01003,-0.01261,-0.01587,-0.01102
2/4/2014,1755.2,0.00331,0.00146,-0.00158,-0.00118
2/5/2014,1751.64,-0.00088,-0.00012,-0.00627,-0.00196
2/6/2014,1773.43,0.00537,0.00914,0.00431,0.00507
2/7/2014,1797.02,0.00574,0.00556,0.00451,0.00780
2/10/2014,1799.84,0.00068,0.00129,0.00290,0.00028
2/11/2014,1819.75,0.00478,0.00628,0.00432,0.00357
2/12/2014,1819.26,-0.00012,0.00265,0.00345,-0.00096
2/13/2014,1829.83,0.00252,0.00388,0.00165,0.00528
2/14/2014,1838.63,0.00208,-0.00492,0.00012,0.00051
2/18/2014,1840.76,0.00050,-0.00012,0.00094,-0.00034
2/19/2014,1828.75,-0.00284,-0.00115,0.00106,-0.00561
2/20/2014,1839.78,0.00261,0.00459,0.00269,-0.00060
2/21/2014,1836.25,-0.00083,-0.00194,0.00267,0.00071
2/24/2014,1847.61,0.00268,0.00046,-0.00337,-0.00029
